RA (deg),Dec (deg),RA (HMS),Dec (DMS),dRA (deg),dDec (deg),Angular Separation (deg)
79.6097792731201,-46.43609075111641,5:18:26.34702555,-46:26:09.92670402,-0.3473917268799056,-0.6572627511164129,0.7000000000000007
79.58842343986895,-45.1283726807549,5:18:21.22162557,-45:07:42.14165072,-0.36874756013105525,0.650455319245097,0.700000000000003
79.64766688581938,-45.113357022268595,5:18:35.4400526,-45:06:48.08528017,-0.3095041141806263,0.6654709777314025,0.7000000000000046
79.59861419511685,-46.45693885747495,5:18:23.66740683,-46:27:24.97988691,-0.35855680488315045,-0.6781108574749553,0.7222222222222286
79.57685539613907,-45.107704032166865,5:18:18.44529507,-45:06:27.7345158,-0.3803156038609359,0.6711239678331324,0.7222222222222225
79.63795999196341,-45.09221738406696,5:18:33.11039807,-45:05:31.98258264,-0.3192110080365893,0.6866106159330343,0.7222222222222123
79.58744056473203,-46.47778587655308,5:18:20.98573554,-46:28:40.02915559,-0.369730435267968,-0.6989578765530808,0.744444444444445
79.62826028152183,-45.07107692422041,5:18:30.78246757,-45:04:15.87692719,-0.3289107184781699,0.7077510757795906,0.7444444444444408
79.61856774416401,-45.04993564394242,5:18:28.4562586,-45:02:59.76831819,-0.3386032558359915,0.7288923560575782,0.766666666666671
79.60888236957732,-45.02879354444429,5:18:26.1317687,-45:01:43.65676,-0.34828863042268665,0.7500344555557064,0.788888888888895
79.62485924456765,-46.55660640044645,5:18:29.9662187,-46:33:23.78304161,-0.33231175543235736,-0.7777784004464507,0.8111111111111139
