RA (deg),Dec (deg),RA (HMS),Dec (DMS),dRA (deg),dDec (deg),Angular Separation (deg)
80.26667511418061,-45.113357022268595,5:21:04.0020274,-45:06:48.08528017,0.3095041141806121,0.6654709777314025,0.7000000000000015
80.32591856013104,-45.1283726807549,5:21:18.22045443,-45:07:42.14165072,0.36874756013104104,0.650455319245097,0.6999999999999993
80.3045627268799,-46.43609075111641,5:21:13.09505445,-46:26:09.92670402,0.3473917268798914,-0.6572627511164129,0.6999999999999973
80.24340142476134,-46.4501187126916,5:20:58.41634194,-46:27:00.42736569,0.2862304247613423,-0.6712907126916008,0.700000000000011
80.27638200803659,-45.09221738406696,5:21:06.33168193,-45:05:31.98258264,0.3192110080365893,0.6866106159330343,0.7222222222222123
80.31572780488314,-46.45693885747495,5:21:15.77467317,-46:27:24.97988691,0.35855680488313624,-0.6781108574749553,0.7222222222222253
80.25260325981617,-46.47141772954519,5:21:00.62478236,-46:28:17.10382636,0.2954322598161667,-0.6925897295451904,0.7222222222222258
80.28608171847816,-45.07107692422041,5:21:08.65961243,-45:04:15.87692719,0.3289107184781557,0.7077510757795906,0.7444444444444377
80.26181229963832,-46.49271600787742,5:21:02.83495191,-46:29:33.77762836,0.30464129963831965,-0.7138880078774221,0.7444444444444474
80.29577425583598,-45.04993564394242,5:21:10.9858214,-45:02:59.76831819,0.3386032558359773,0.7288923560575782,0.7666666666666678
80.27102855499031,-46.51401354655939,5:21:05.0468532,-46:30:50.44876761,0.31385755499030665,-0.7351855465593928,0.7666666666666673
80.28025203665432,-46.53531034446012,5:21:07.2604888,-46:32:07.11724006,0.3230810366543153,-0.7564823444601245,0.7888888888888936
80.28948275543235,-46.55660640044645,5:21:09.4758613,-46:33:23.78304161,0.33231175543234315,-0.7777784004464507,0.8111111111111112
