RA (deg),Dec (deg),RA (HMS),Dec (DMS),dRA (deg),dDec (deg),Angular Separation (deg)
79.7332971414874,-46.46141209605591,5:18:55.99131396,-46:27:41.0835458,-0.22387385851260433,-0.682584096055912,0.6999999999999936
79.67094057523865,-46.4501187126916,5:18:41.02573806,-46:27:00.42736569,-0.2862304247613565,-0.6712907126916008,0.7000000000000137
79.47446560087785,-45.16610957305237,5:17:53.87174421,-45:09:57.99446299,-0.48270539912215327,0.6127184269476302,0.700000000000002
79.53061422264499,-45.145979707661056,5:18:07.34741343,-45:08:45.52694758,-0.4265567773550174,0.6328482923389416,0.699999999999997
79.58842343986895,-45.1283726807549,5:18:21.22162557,-45:07:42.14165072,-0.36874756013105525,0.650455319245097,0.700000000000003
79.72249689939548,-46.49390510223594,5:18:53.39925585,-46:29:38.05836805,-0.2346741006045221,-0.715077102235945,0.7333333333333529
79.65713512154085,-46.48206696109698,5:18:37.71242917,-46:28:55.44105995,-0.30003587845915547,-0.7032389610969858,0.7333333333333425
79.51053904055114,-45.115804795185355,5:18:02.52936973,-45:06:56.89726267,-0.44663195944886525,0.6630232048146425,0.7333333333333264
79.5710745154986,-45.09736927016382,5:18:17.05788372,-45:05:50.52937259,-0.3860964845014081,0.68145872983618,0.7333333333333304
79.71168374389103,-46.52639709066256,5:18:50.80409853,-46:31:35.02952639,-0.24548725610897293,-0.7475690906625658,0.7666666666666692
79.49048507937505,-45.08562636950461,5:17:57.71641905,-45:05:08.25493022,-0.46668592062495406,0.6932016304953876,0.7666666666666655
79.5537444210341,-45.066363235847476,5:18:12.89866105,-45:03:58.90764905,-0.40342657896590595,0.7124647641525215,0.7666666666666695
79.7008576452389,-46.5588880589603,5:18:48.20583486,-46:33:31.99701226,-0.2563133547611045,-0.7800600589603022,0.7999999999999979
79.53643311728973,-45.03535458348728,5:18:08.74394815,-45:02:07.27650055,-0.42073788271027013,0.7434734165127139,0.7999999999999966
79.51914056517644,-45.004343318749676,5:18:04.59373564,-45:00:15.6359475,-0.43803043482355974,0.7744846812503212,0.8333333333333394
79.50186672570145,-44.97332944728631,5:18:00.44801417,-44:58:23.98601023,-0.45530427429855536,0.8054985527136864,0.8666666666666613
