RA (deg),Dec (deg),RA (HMS),Dec (DMS),dRA (deg),dDec (deg),Angular Separation (deg)
80.20622880355492,-45.10099112752013,5:20:49.49491285,-45:06:03.56805907,0.24905780355491913,0.6778368724798653,0.699999999999988
80.36427449193675,-46.419386782935305,5:21:27.42587806,-46:25:09.79241857,0.407103491936752,-0.6405587829353081,0.7000000000000072
80.1536375515943,-45.0585771267333,5:20:36.87301238,-45:03:30.87765624,0.19646655159429827,0.7202508732666999,0.7333333333333237
80.21794070036441,-45.06869979774874,5:20:52.30576809,-45:04:07.3192719,0.2607697003644063,0.710128202251255,0.7333333333333213
80.38389819081101,-46.44985323200903,5:21:32.13556579,-46:26:59.47163523,0.4267271908110075,-0.6710252320090362,0.7333333333333435
80.32131355025679,-46.46736250302564,5:21:17.11525206,-46:28:02.50501089,0.364142550256787,-0.6885345030256431,0.7333333333333437
80.16244983404303,-45.0258305214788,5:20:38.98796017,-45:01:32.98987732,0.20527883404302827,0.7529974785211948,0.7666666666666744
80.40354385401322,-46.480316321088544,5:21:36.85052496,-46:28:49.13875592,0.44637285401321947,-0.7014883210885472,0.7666666666666612
80.33808363037937,-46.498631806724504,5:21:21.14007129,-46:29:55.07450421,0.3809126303793704,-0.7198038067245065,0.7666666666666667
80.17125203998955,-44.993083239320235,5:20:41.1004896,-44:59:35.09966155,0.2140810399895514,0.7857447606797621,0.7999999999999966
80.35487300896649,-46.52989865671678,5:21:25.16952215,-46:31:47.63516418,0.39770200896649044,-0.7510706567167844,0.8000000000000074
80.1800441922406,-44.9603352818036,5:20:43.21060614,-44:57:37.20701449,0.22287319224059843,0.8184927181963957,0.8333333333333289
80.37168172784594,-46.56116304749105,5:21:29.20361468,-46:33:40.18697097,0.41451072784593634,-0.7823350474910526,0.8333333333333424
80.38850982895484,-46.5924249735207,5:21:33.24235895,-46:35:32.72990467,0.43133882895483566,-0.8135969735207027,0.8666666666666617
