RA (deg),Dec (deg),RA (HMS),Dec (DMS),dRA (deg),dDec (deg),Angular Separation (deg)
79.55006750806324,-46.419386782935305,5:18:12.01620194,-46:25:09.79241857,-0.4071034919367662,-0.6405587829353081,0.7000000000000112
79.49205286171018,-46.40007649239101,5:17:58.09268681,-46:24:00.27537261,-0.4651181382898244,-0.6212484923910111,0.7000000000000125
79.64766688581938,-45.113357022268595,5:18:35.4400526,-45:06:48.08528017,-0.3095041141806263,0.6654709777314025,0.7000000000000046
79.70811319644507,-45.10099112752013,5:18:49.94716715,-45:06:03.56805907,-0.24905780355493334,0.6778368724798653,0.6999999999999904
79.53044380918898,-46.44985323200903,5:18:07.30651421,-46:26:59.47163523,-0.42672719081102173,-0.6710252320090362,0.7333333333333474
79.69640129963558,-45.06869979774874,5:18:47.13631191,-45:04:07.3192719,-0.2607697003644205,0.710128202251255,0.7333333333333237
79.51079814598678,-46.480316321088544,5:18:02.59155504,-46:28:49.13875592,-0.44637285401321947,-0.7014883210885472,0.7666666666666612
79.68470262871284,-45.03640727231132,5:18:44.32863089,-45:02:11.06618032,-0.27246837128716095,0.7424207276886747,0.7666666666666577
79.55946899103351,-46.52989865671678,5:18:14.27255785,-46:31:47.63516418,-0.39770200896649044,-0.7510706567167844,0.8000000000000074
79.74308996001045,-44.993083239320235,5:18:58.3415904,-44:59:35.09966155,-0.2140810399895514,0.7857447606797621,0.7999999999999966
79.54266027215405,-46.56116304749105,5:18:10.23846532,-46:33:40.18697097,-0.41451072784595056,-0.7823350474910526,0.8333333333333458
79.7342978077594,-44.9603352818036,5:18:56.23147386,-44:57:37.20701449,-0.22287319224059843,0.8184927181963957,0.8333333333333289
79.52583217104515,-46.5924249735207,5:18:06.19972105,-46:35:32.72990467,-0.4313388289548499,-0.8135969735207027,0.8666666666666649
79.72551568646087,-44.92758665047056,5:18:54.12376475,-44:55:39.31194169,-0.23165531353913593,0.8512413495294382,0.8666666666666603
