RA (deg),Dec (deg),RA (HMS),Dec (DMS),dRA (deg),dDec (deg),Angular Separation (deg)
80.32591856013104,-45.1283726807549,5:21:18.22045443,-45:07:42.14165072,0.36874756013104104,0.650455319245097,0.6999999999999993
80.383727777355,-45.145979707661056,5:21:32.09466657,-45:08:45.52694758,0.4265567773550032,0.6328482923389416,0.6999999999999927
80.24340142476134,-46.4501187126916,5:20:58.41634194,-46:27:00.42736569,0.2862304247613423,-0.6712907126916008,0.700000000000011
80.1810448585126,-46.46141209605591,5:20:43.45076604,-46:27:41.0835458,0.22387385851260433,-0.682584096055912,0.6999999999999936
80.3432674845014,-45.09736927016382,5:21:22.38419628,-45:05:50.52937259,0.3860964845013939,0.68145872983618,0.7333333333333267
80.40380295944885,-45.115804795185355,5:21:36.91271027,-45:06:56.89726267,0.44663195944885103,0.6630232048146425,0.7333333333333221
80.19184510060451,-46.49390510223594,5:20:46.04282415,-46:29:38.05836805,0.23467410060450788,-0.715077102235945,0.7333333333333507
80.3605975789659,-45.066363235847476,5:21:26.54341895,-45:03:58.90764905,0.40342657896589174,0.7124647641525215,0.7666666666666658
80.20265825610896,-46.52639709066256,5:20:48.63798147,-46:31:35.02952639,0.24548725610895872,-0.7475690906625658,0.766666666666667
80.37790888271027,-45.03535458348728,5:21:30.69813185,-45:02:07.27650055,0.42073788271027013,0.7434734165127139,0.7999999999999966
80.2134843547611,-46.5588880589603,5:20:51.23624514,-46:33:31.99701226,0.2563133547611045,-0.7800600589603022,0.7999999999999979
80.39520143482356,-45.00434331874968,5:21:34.84834436,-45:00:15.6359475,0.43803043482355974,0.7744846812503141,0.8333333333333306
